WP, 70, 2022080606, , MIWU, 0, 155N, 1170E,  20, 1000, DB,  0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Mulan,
WP, 70, 2022080612, , MIWU, 0, 157N, 1164E,  20, 1000, DB,
WP, 70, 2022080618, , MIWU, 0, 157N, 1151E,  20, 1000, DB,
WP, 70, 2022080700, , MIWU, 0, 156N, 1137E,  20, 1000, DB,
WP, 70, 2022080706, , MIWU, 0, 155N, 1126E,  20,  999, DB,
WP, 70, 2022080712, , MIWU, 0, 156N, 1121E,  20,  999, DB,
WP, 70, 2022080718, , MIWU, 0, 158N, 1122E,  25,  997, TD,
WP, 70, 2022080800, , MIWU, 0, 157N, 1126E,  30,  995, TD,
WP, 70, 2022080806, , MIWU, 0, 158N, 1131E,  30,  995, TD,
WP, 70, 2022080812, , MIWU, 0, 160N, 1134E,  30,  994, TD,
WP, 70, 2022080818, , MIWU, 0, 165N, 1135E,  30,  994, TD,
WP, 70, 2022080900, , MIWU, 0, 172N, 1133E,  35,  992, TS,
WP, 70, 2022080906, , MIWU, 0, 180N, 1130E,  35,  991, TS,
WP, 70, 2022080912, , MIWU, 0, 187N, 1125E,  40,  988, TS,
WP, 70, 2022080918, , MIWU, 0, 196N, 1120E,  45,  985, TS,
WP, 70, 2022081000, , MIWU, 0, 206N, 1114E,  50,  983, TS,
WP, 70, 2022081006, , MIWU, 0, 211N, 1102E,  50,  984, TS,
WP, 70, 2022081012, , MIWU, 0, 210N, 1088E,  45,  986, TS,
WP, 70, 2022081018, , MIWU, 0, 207N, 1075E,  40,  989, TS,
WP, 70, 2022081100, , MIWU, 0, 206N, 1063E,  35,  992, TS,
WP, 70, 2022081106, , MIWU, 0, 207N, 1050E,  30,  995, TD,
WP, 70, 2022081112, , MIWU, 0, 208N, 1035E,  25,  998, TD,
WP, 70, 2022081118, , MIWU, 0, 207N, 1019E,  20, 1000, DB,
WP, 70, 2022081200, , MIWU, 0, 205N, 1003E,  20, 1000, DB,
WP, 70, 2022081206, , MIWU, 0, 203N,  988E,  20, 1001, DB,
WP, 70, 2022081212, , MIWU, 0, 204N,  971E,  20, 1001, DB,
WP, 70, 2022081218, , MIWU, 0, 204N,  957E,  15, 1003, DB,
