SH, 04, 2022103112,   , MIWU, 0,  41S,  901E,  20, 1005, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Four-S,
SH, 04, 2022103118,   , MIWU, 0,  42S,  907E,  20, 1004, DB,
SH, 04, 2022110100,   , MIWU, 0,  40S,  914E,  20, 1004, DB,
SH, 04, 2022110106,   , MIWU, 0,  39S,  920E,  25, 1002, TD,
SH, 04, 2022110112,   , MIWU, 0,  41S,  928E,  25, 1002, TD,
SH, 04, 2022110118,   , MIWU, 0,  45S,  937E,  20, 1004, DB,
SH, 04, 2022110200,   , MIWU, 0,  50S,  945E,  20, 1005, DB,
SH, 04, 2022110206,   , MIWU, 0,  58S,  948E,  20, 1005, DB,
SH, 04, 2022110212,   , MIWU, 0,  65S,  948E,  25, 1003, TD,
SH, 04, 2022110218,   , MIWU, 0,  71S,  948E,  25, 1002, TD,
SH, 04, 2022110300,   , MIWU, 0,  78S,  946E,  30, 1000, TD,
SH, 04, 2022110306,   , MIWU, 0,  85S,  943E,  40,  996, TS,
SH, 04, 2022110312,   , MIWU, 0,  90S,  939E,  40,  996, TS,
SH, 04, 2022110318,   , MIWU, 0,  93S,  936E,  40,  997, TS,
SH, 04, 2022110400,   , MIWU, 0,  94S,  932E,  40,  996, TS,
SH, 04, 2022110406,   , MIWU, 0,  97S,  928E,  40,  996, TS,
SH, 04, 2022110412,   , MIWU, 0, 102S,  921E,  40,  996, TS,
SH, 04, 2022110418,   , MIWU, 0, 106S,  914E,  35,  998, TS,
SH, 04, 2022110500,   , MIWU, 0, 109S,  904E,  35,  999, TS,
SH, 04, 2022110506,   , MIWU, 0, 112S,  894E,  30, 1001, TD,
SH, 04, 2022110512,   , MIWU, 0, 115S,  882E,  30, 1001, TD,
SH, 04, 2022110518,   , MIWU, 0, 118S,  867E,  30, 1000, TD,
SH, 04, 2022110600,   , MIWU, 0, 120S,  851E,  35,  998, TS,
SH, 04, 2022110606,   , MIWU, 0, 123S,  835E,  35,  998, TS,
SH, 04, 2022110612,   , MIWU, 0, 124S,  820E,  35,  997, TS,
SH, 04, 2022110618,   , MIWU, 0, 124S,  806E,  25, 1001, TD,
SH, 04, 2022110700,   , MIWU, 0, 122S,  790E,  20, 1003, DB,
SH, 04, 2022110706,   , MIWU, 0, 120S,  774E,  15, 1005, DB,
SH, 04, 2022110712,   , MIWU, 0, 118S,  759E,  15, 1006, DB,
SH, 04, 2022110718,   , MIWU, 0, 115S,  747E,  20, 1004, DB,
SH, 04, 2022110800,   , MIWU, 0, 113S,  738E,  20, 1005, DB,
SH, 04, 2022110806,   , MIWU, 0, 114S,  730E,  15, 1007, DB,
SH, 04, 2022110812,   , MIWU, 0, 116S,  722E,  15, 1007, DB,
SH, 04, 2022110818,   , MIWU, 0, 115S,  715E,  15, 1008, DB,
SH, 04, 2022110900,   , MIWU, 0, 115S,  710E,  15, 1008, DB,
SH, 04, 2022110906,   , MIWU, 0, 116S,  707E,  15, 1008, DB,
