SH, 07, 2023010506,   , MIWU, 0, 180S, 1450E,  15, 1004, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Hale,
SH, 07, 2023010512,   , MIWU, 0, 181S, 1462E,  20, 1002, DB,
SH, 07, 2023010518,   , MIWU, 0, 183S, 1473E,  20, 1002, DB,
SH, 07, 2023010600,   , MIWU, 0, 182S, 1484E,  25, 1000, TD,
SH, 07, 2023010606,   , MIWU, 0, 184S, 1496E,  30,  998, TD,
SH, 07, 2023010612,   , MIWU, 0, 190S, 1510E,  40,  994, TS,
SH, 07, 2023010618,   , MIWU, 0, 197S, 1530E,  45,  992, TS,
SH, 07, 2023010700,   , MIWU, 0, 203S, 1548E,  45,  991, TS,
SH, 07, 2023010706,   , MIWU, 0, 212S, 1568E,  45,  990, TS,
SH, 07, 2023010712,   , MIWU, 0, 224S, 1596E,  55,  986, TS,
SH, 07, 2023010718,   , MIWU, 0, 235S, 1621E,  50,  988, TS,
SH, 07, 2023010800,   , MIWU, 0, 245S, 1637E,  40,  992, TS,
SH, 07, 2023010806,   , MIWU, 0, 252S, 1660E,  35,  994, SS,
SH, 07, 2023010812,   , MIWU, 0, 260S, 1685E,  35,  994, SS,
SH, 07, 2023010818,   , MIWU, 0, 258S, 1702E,  30,  996, SD,
SH, 07, 2023010900,   , MIWU, 0, 258S, 1724E,  25,  998, SD,
SH, 07, 2023010906,   , MIWU, 0, 261S, 1748E,  20, 1000, SD,
SH, 07, 2023010912,   , MIWU, 0, 269S, 1772E,  15, 1002, SD,
SH, 07, 2023010918,   , MIWU, 0, 280S, 1790E,  15, 1003, SD,
