SH, 09, 2023011606,   , MIWU, 0, 159S, 1570E,  20, 1005, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Irene,
SH, 09, 2023011612,   , MIWU, 0, 163S, 1568E,  20, 1005, DB,
SH, 09, 2023011618,   , MIWU, 0, 167S, 1569E,  20, 1004, DB,
SH, 09, 2023011700,   , MIWU, 0, 170S, 1572E,  20, 1004, DB,
SH, 09, 2023011706,   , MIWU, 0, 172S, 1579E,  25, 1002, TD,
SH, 09, 2023011712,   , MIWU, 0, 175S, 1589E,  30, 1000, TD,
SH, 09, 2023011718,   , MIWU, 0, 178S, 1603E,  35,  998, TS,
SH, 09, 2023011800,   , MIWU, 0, 180S, 1619E,  40,  996, TS,
SH, 09, 2023011806,   , MIWU, 0, 181S, 1636E,  45,  993, TS,
SH, 09, 2023011812,   , MIWU, 0, 183S, 1654E,  55,  987, TS,
SH, 09, 2023011818,   , MIWU, 0, 187S, 1671E,  55,  988, TS,
SH, 09, 2023011900,   , MIWU, 0, 194S, 1690E,  45,  992, TS,
SH, 09, 2023011906,   , MIWU, 0, 209S, 1718E,  45,  993, TS,
SH, 09, 2023011912,   , MIWU, 0, 230S, 1742E,  40,  995, SS,
SH, 09, 2023011918,   , MIWU, 0, 249S, 1764E,  40,  995, SS,
SH, 09, 2023012000,   , MIWU, 0, 268S, 1783E,  35,  997, SS,
SH, 09, 2023012006,   , MIWU, 0, 282S, 1799E,  35,  997, SS,
SH, 09, 2023012012,   , MIWU, 0, 295S, 1787W,  35,  998, SS,
SH, 09, 2023012018,   , MIWU, 0, 306S, 1775W,  35,  998, EX,
SH, 09, 2023012100,   , MIWU, 0, 316S, 1764W,  30, 1000, EX,
SH, 09, 2023012106,   , MIWU, 0, 322S, 1751W,  30, 1000, EX,
SH, 09, 2023012112,   , MIWU, 0, 327S, 1740W,  25, 1002, EX,
SH, 09, 2023012118,   , MIWU, 0, 331S, 1730W,  25, 1002, EX,
SH, 09, 2023012200,   , MIWU, 0, 333S, 1719W,  25, 1003, EX,
SH, 09, 2023012206,   , MIWU, 0, 335S, 1707W,  20, 1005, EX,
SH, 09, 2023012212,   , MIWU, 0, 336S, 1693W,  20, 1005, EX,
SH, 09, 2023012218,   , MIWU, 0, 336S, 1677W,  15, 1007, EX,
