SH, 10, 2023011718,   , MIWU, 0, 182S, 1480E,  20, 1007, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Ten-P,
SH, 10, 2023011800,   , MIWU, 0, 179S, 1482E,  20, 1006, DB,
SH, 10, 2023011806,   , MIWU, 0, 177S, 1485E,  20, 1006, DB,
SH, 10, 2023011812,   , MIWU, 0, 174S, 1491E,  25, 1004, TD,
SH, 10, 2023011818,   , MIWU, 0, 171S, 1500E,  30, 1002, TD,
SH, 10, 2023011900,   , MIWU, 0, 170S, 1512E,  25, 1004, TD,
SH, 10, 2023011906,   , MIWU, 0, 170S, 1524E,  25, 1003, TD,
SH, 10, 2023011912,   , MIWU, 0, 172S, 1539E,  25, 1003, TD,
SH, 10, 2023011918,   , MIWU, 0, 178S, 1558E,  30, 1001, TD,
SH, 10, 2023012000,   , MIWU, 0, 185S, 1579E,  35,  999, TS,
SH, 10, 2023012006,   , MIWU, 0, 193S, 1596E,  40,  997, TS,
SH, 10, 2023012012,   , MIWU, 0, 200S, 1608E,  40,  996, TS,
SH, 10, 2023012018,   , MIWU, 0, 207S, 1614E,  40,  996, TS,
SH, 10, 2023012100,   , MIWU, 0, 215S, 1622E,  35,  998, SS,
SH, 10, 2023012106,   , MIWU, 0, 219S, 1628E,  35,  998, SS,
SH, 10, 2023012112,   , MIWU, 0, 222S, 1636E,  35,  999, SS,
SH, 10, 2023012118,   , MIWU, 0, 230S, 1640E,  30, 1001, SD,
SH, 10, 2023012200,   , MIWU, 0, 238S, 1642E,  30, 1002, SD,
SH, 10, 2023012206,   , MIWU, 0, 245S, 1641E,  30, 1002, SD,
SH, 10, 2023012212,   , MIWU, 0, 250S, 1639E,  25, 1004, SD,
SH, 10, 2023012218,   , MIWU, 0, 256S, 1639E,  25, 1004, SD,
SH, 10, 2023012300,   , MIWU, 0, 265S, 1638E,  25, 1005, SD,
SH, 10, 2023012306,   , MIWU, 0, 273S, 1635E,  20, 1007, SD,
SH, 10, 2023012312,   , MIWU, 0, 279S, 1634E,  20, 1007, SD,
SH, 10, 2023012318,   , MIWU, 0, 282S, 1635E,  20, 1007, SD,
SH, 10, 2023012400,   , MIWU, 0, 284S, 1638E,  15, 1009, SD,
SH, 10, 2023012406,   , MIWU, 0, 284S, 1639E,  15, 1009, SD,
SH, 10, 2023012412,   , MIWU, 0, 283S, 1640E,  15, 1009, SD,
SH, 10, 2023012418,   , MIWU, 0, 284S, 1641E,  15, 1010, SD,
SH, 10, 2023012500,   , MIWU, 0, 285S, 1642E,  15, 1010, SD,
SH, 10, 2023012506,   , MIWU, 0, 287S, 1645E,  15, 1010, SD,
SH, 10, 2023012512,   , MIWU, 0, 290S, 1651E,  15, 1010, SD,
SH, 10, 2023012518,   , MIWU, 0, 295S, 1660E,  15, 1010, SD,
