SH, 11, 2023020500,   , MIWU, 0, 113S, 1185E,  15, 1010, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Freddy,
SH, 11, 2023020506,   , MIWU, 0, 115S, 1187E,  20, 1008, DB,
SH, 11, 2023020512,   , MIWU, 0, 117S, 1189E,  20, 1007, DB,
SH, 11, 2023020518,   , MIWU, 0, 119S, 1191E,  30, 1003, TD,
SH, 11, 2023020600,   , MIWU, 0, 120S, 1190E,  40,  999, TS,
SH, 11, 2023020606,   , MIWU, 0, 122S, 1188E,  45,  997, TS,
SH, 11, 2023020612,   , MIWU, 0, 126S, 1185E,  55,  993, TS,
SH, 11, 2023020618,   , MIWU, 0, 132S, 1182E,  60,  990, TS,
SH, 11, 2023020700,   , MIWU, 0, 139S, 1177E,  70,  984, TY,
SH, 11, 2023020706,   , MIWU, 0, 143S, 1170E,  80,  978, TY,
SH, 11, 2023020712,   , MIWU, 0, 146S, 1160E,  90,  972, TY,
SH, 11, 2023020718,   , MIWU, 0, 148S, 1151E,  95,  969, TY,
SH, 11, 2023020800,   , MIWU, 0, 151S, 1143E,  90,  971, TY,
SH, 11, 2023020806,   , MIWU, 0, 154S, 1136E,  85,  972, TY,
SH, 11, 2023020812,   , MIWU, 0, 158S, 1129E,  75,  976, TY,
SH, 11, 2023020818,   , MIWU, 0, 160S, 1121E,  65,  980, TY,
SH, 11, 2023020900,   , MIWU, 0, 159S, 1112E,  55,  984, TS,
SH, 11, 2023020906,   , MIWU, 0, 156S, 1104E,  50,  986, TS,
SH, 11, 2023020912,   , MIWU, 0, 155S, 1096E,  50,  985, TS,
SH, 11, 2023020918,   , MIWU, 0, 154S, 1088E,  60,  979, TS,
SH, 11, 2023021000,   , MIWU, 0, 153S, 1080E,  70,  973, TY,
SH, 11, 2023021006,   , MIWU, 0, 151S, 1075E,  65,  977, TY,
SH, 11, 2023021012,   , MIWU, 0, 148S, 1068E,  65,  976, TY,
SH, 11, 2023021018,   , MIWU, 0, 146S, 1057E,  70,  973, TY,
SH, 11, 2023021100,   , MIWU, 0, 146S, 1046E,  75,  970, TY,
SH, 11, 2023021106,   , MIWU, 0, 147S, 1038E,  90,  961, TY,
SH, 11, 2023021112,   , MIWU, 0, 148S, 1028E, 105,  952, TY,
SH, 11, 2023021118,   , MIWU, 0, 150S, 1019E, 120,  943, TY,
SH, 11, 2023021200,   , MIWU, 0, 151S, 1009E, 115,  945, TY,
SH, 11, 2023021206,   , MIWU, 0, 152S,  999E, 110,  947, TY,
SH, 11, 2023021212,   , MIWU, 0, 152S,  988E, 105,  949, TY,
SH, 11, 2023021218,   , MIWU, 0, 151S,  978E, 100,  951, TY,
SH, 11, 2023021300,   , MIWU, 0, 152S,  968E,  90,  955, TY,
SH, 11, 2023021306,   , MIWU, 0, 154S,  957E,  90,  956, TY,
SH, 11, 2023021312,   , MIWU, 0, 155S,  945E,  80,  962, TY,
SH, 11, 2023021318,   , MIWU, 0, 156S,  934E,  70,  968, TY,
SH, 11, 2023021400,   , MIWU, 0, 156S,  922E,  75,  966, TY,
SH, 11, 2023021406,   , MIWU, 0, 155S,  910E,  90,  957, TY,
SH, 11, 2023021412,   , MIWU, 0, 155S,  899E, 105,  948, TY,
SH, 11, 2023021418,   , MIWU, 0, 155S,  888E, 110,  945, TY,
SH, 11, 2023021500,   , MIWU, 0, 154S,  876E, 120,  942, TY,
SH, 11, 2023021506,   , MIWU, 0, 152S,  863E, 130,  936, ST,
SH, 11, 2023021512,   , MIWU, 0, 149S,  849E, 130,  935, ST,
SH, 11, 2023021518,   , MIWU, 0, 148S,  836E, 125,  937, TY,
SH, 11, 2023021600,   , MIWU, 0, 148S,  823E, 125,  938, TY,
SH, 11, 2023021606,   , MIWU, 0, 148S,  811E, 120,  941, TY,
SH, 11, 2023021612,   , MIWU, 0, 149S,  798E, 115,  944, TY,
SH, 11, 2023021618,   , MIWU, 0, 152S,  782E, 120,  942, TY,
SH, 11, 2023021700,   , MIWU, 0, 155S,  766E, 120,  941, TY,
SH, 11, 2023021706,   , MIWU, 0, 157S,  752E, 125,  938, TY,
SH, 11, 2023021708, 30, MIWU, 0, 158S,  747E, 130,  935, ST,
SH, 11, 2023021712,   , MIWU, 0, 159S,  740E, 130,  936, ST,
SH, 11, 2023021718,   , MIWU, 0, 160S,  728E, 125,  939, TY,
